Qty,Value,Device,Package,Parts,Column1
24,0.1uF,C-EUC0603,C0603,C1  C2  C3  C4  C5  C6  C7  C8  C9  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19  C20  C21  C22  C23  C24,C14663
1,0.1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C29,C49678
4,100K,RESISTOR_0603_NOOUT,0603-NO,R1  R3  R7  R12,C25803
1,10118192-0002LF,10118192-0002LF,AMPHENOL_10118192-0002LF,J1,C132564
1,1024TR,1024TR,1024TR,U$9,BOTTOM PART
3,10K,RESISTOR_0603_NOOUT,0603-NO,R5  R6  R8,C25804
3,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C27  C28  C30,C440198
7,1K,RESISTOR_0603_NOOUT,0603-NO,R2  R10  R13  R14  R17  R18  R19,C21190
2,1uF,CAP_CERAMIC0603_NO,0603-NO,C26  C31,C15849
1,1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C25,C28323
1,4.7K,RESISTOR_0603_NOOUT,0603-NO,R4,C23162
1,4.7uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C32,C1779
2,470,RESISTOR_0603_NOOUT,0603-NO,R9  R11,C23179
1,AP2112-3.3,VREG_SOT23-5,SOT23-5,U2,C150742
1,BSS138,MOSFET-NCHANNELSMD,SOT23-3,Q4,C78284
1,CH340C,CH340C,SOIC127P600X180-16N,U1,C84681
1,DMP2045U,MOSFET-P,SOT23-R,Q3,C700955
1,ESP32_WROOM32_SKINNY,ESP32_WROOM32_SKINNY,WROOM32_SKINNY,X2,C82899
1,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SW2,C269272
1,MBR120,DIODE-SCHOTTKYSOD-123,SOD-123,D4,C130880
1,MCP73831T-2ACI/OT,MCP73831/2,SOT23-5,U3,C424093
1,PCM12SMTRPCM12SMTR_CNK,PCM12SMTRPCM12SMTR_CNK,PCM12SMTR_CNK,U5,BOTTOM PART
4,PTR1B1 27,PTR1B1 27,B1 27,TP1  TP2  TP3  TP4,NOT A PART
4,RED,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,D1  D3  D5  D6,C84256
1,SMF05CT1G,SMF05CT1G,SOT65P210X110-6N,U4,C558443
1,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,CON3_SSW-D-DUMZ_HDR_SAI,J2,NOT ASSY
24,WS28115050,WS28115050,WS28115050,LED1  LED2  LED3  LED4  LED5  LED6  LED7  LED8  LED9  LED10  LED11  LED12  LED13  LED14  LED15  LED16  LED17  LED18  LED19  LED20  LED21  LED22  LED23  LED24,C114584
2,mmbt2222,TRANSISTOR_NPNSOT23-3,SOT23-3,Q1  Q2,C8512
