Qty,Value,Device,Package,Parts,Description,JLCPCB
20,0.1uF,CAP0603-CAP,0603-CAP,C1  C2  C3  C4  C5  C6  C7  C8  C9  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19  C20,Capacitor,C14663
1,100K,RESISTOR_0603_NOOUT,0603-NO,R7,Resistors,C25803
1,10118192-0002LF,10118192-0002LF,AMPHENOL_10118192-0002LF,J1,USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount  Right Angle,C132564
1,10K,RESISTOR0603-RES,0603-RES,R2,Resistor,C25804
1,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C27,Ceramic Capacitors,C440198
2,1K,RESISTOR_0603_NOOUT,0603-NO,R13  R14,Resistors,C21190
2,1uF,CAP_CERAMIC0603_NO,0603-NO,C21  C26,Ceramic Capacitors,C15849
1,330r,RESISTOR0603-RES,0603-RES,R6,Resistor,C23138
1,8/16/20MHz,RESONATOR1:1,RESONATOR-SMD-1:1,Q1,Resonator,C32180
1,AP2112-3.3,VREG_SOT23-5,SOT23-5,U2,SOT23-5 Fixed Voltage Regulators,C150742
1,ATMEGA328,ATMEGA168,TQFP32-08,U1,,C14877
1,CH340C,CH340C,SOIC127P600X180-16N,U7,USB to serial chip CH340    Check prices,C84681
1,BTN,MOMENTARY-SWITCH-SPST-2-SMD-5.2MM,TACTILE_SWITCH_SMD_5.2MM,S2 S3 S5 S6 S7 S4,Momentary Switch (Pushbutton) - SPST - Two Circuits,C318884
2,MBR120,DIODE-SCHOTTKYSOD-123,SOD-123,D3  D4,,C130880
3,RED,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,D1  D2  D5,LED,C84256
1,SMF05CT1G,SMF05CT1G,SOT65P210X110-6N,U8,SMF05C Series 7.2 V 100 W 5-Line Transient Voltage Suppressor Array - SC-88 Check prices,C558443
16,WS2812-2020,WS2812-2020,LED_WS2812-2020,U3  U4  U9  U10  U11  U12  U13  U14  U15  U16  U17  U18  U19  U20  U21  U22,Intelligent control LED,C965555
